code,color_name,image_url,local_image_path
SC-16,Cotton Tail,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-16.jpg,glaze_images/sc_16_cone06.jpg
SC-37,Ivory Tower,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-37.jpg,glaze_images/sc_37_cone06.jpg
SC-55,Yella Bout It,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-55.jpg,glaze_images/sc_55_cone06.jpg
SC-6,Sunkissed,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-06.jpg,glaze_images/sc_6_cone06.jpg
SC-42,Butter Me Up,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-42.jpg,glaze_images/sc_42_cone06.jpg
SC-24,Dandelion,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-24.jpg,glaze_images/sc_24_cone06.jpg
SC-97,Cant-elope,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-97.jpg,glaze_images/sc_97_cone06.jpg
SC-102,Just Peachy,https://www.maycocolors.com/wp-content/uploads/2023/01/SC-102.jpg,glaze_images/sc_102_cone06.jpg
SC-23,Jack O’Lantern,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-23.jpg,glaze_images/sc_23_cone06.jpg
SC-75,Orange-A-Peel,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-75.jpg,glaze_images/sc_75_cone06.jpg
SC-50,Orange Ya Happy,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-50.jpg,glaze_images/sc_50_cone06.jpg
SC-2,Melon-choly,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-02.jpg,glaze_images/sc_2_cone06.jpg
SC-89,Cutie Pie Coral,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-89.jpg,glaze_images/sc_89_cone06.jpg
SC-88,Tu Tu Tango,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-88.jpg,glaze_images/sc_88_cone06.jpg
SC-73,Candy Apple Red,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-73.jpg,glaze_images/sc_73_cone06.jpg
SC-74,Hot Tamale,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-74.jpg,glaze_images/sc_74_cone06.jpg
SC-87,Ruby Slippers,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-87.jpg,glaze_images/sc_87_cone06.jpg
SC-81,Cinnamon Stix,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-81.jpg,glaze_images/sc_81_cone06.jpg
SC-1,Pink-A-Boo,https://www.maycocolors.com/wp-content/uploads/2020/07/sc-01.jpg,glaze_images/sc_1_cone06.jpg
SC-100,Makin Me Blush,https://www.maycocolors.com/wp-content/uploads/2023/01/SC-100.jpg,glaze_images/sc_100_cone06.jpg
SC-70,Pink-A-Dot,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-70.jpg,glaze_images/sc_70_cone06.jpg
SC-95,Pinkie Swear,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-95.jpg,glaze_images/sc_95_cone06.jpg
SC-17,Cheeky Pinky,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-17.jpg,glaze_images/sc_17_cone06.jpg
SC-18,Rosey Posey,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-18.jpg,glaze_images/sc_18_cone06.jpg
SC-3,Wine About It,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-03.jpg,glaze_images/sc_3_cone06.jpg
SC-40,Blueberry Hill,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-40.jpg,glaze_images/sc_40_cone06.jpg
SC-13,Grapel,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-13.jpg,glaze_images/sc_13_cone06.jpg
SC-85,Orkid,https://www.maycocolors.com/wp-content/uploads/2020/09/sc-85.jpg,glaze_images/sc_85_cone06.jpg
